date,energy_mwh,fuel,percentage
2021-01-13 19:00:00,-19099,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.1476639271383397
2021-01-13 19:00:00,21296,ΛΙΓΝΙΤΗΣ,0.1646500336320269
2021-01-13 19:00:00,129341,ΣΥΝΟΛΟ,1.0
2021-01-13 19:00:00,39563,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.3058813523940591
2021-01-13 19:00:00,55000,ΦΥΣΙΚΟ ΑΕΡΙΟ,0.4252325248761027
2021-01-14 19:00:00,28153,ΑΙΟΛΙΚΑ,0.2028664898829769
2021-01-14 19:00:00,-14333,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.1032815472415979
2021-01-14 19:00:00,19130,ΛΙΓΝΙΤΗΣ,0.1378480428892604
2021-01-14 19:00:00,138776,ΣΥΝΟΛΟ,1.0
2021-01-14 19:00:00,37750,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.2720210987490632
2021-01-14 19:00:00,68076,ΦΥΣΙΚΟ ΑΕΡΙΟ,0.4905459157202974
2021-01-15 19:00:00,26080,ΑΙΟΛΙΚΑ,0.1755933344554788
